name;CountInput;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountOutput;CountPath;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;MaxNesting;RatioCommentToCode
net.sourceforge.ganttproject.calendar.GanttDaysOff.java:69;2;3;0;3;1;1;0;2;1;1;2;1;1;1;1;1;1;0;0.00
net.sourceforge.ganttproject.chart.ChartHeaderImpl.java:142;2;22;0;20;10;17;2;18;2;18;20;11;9;2;2;2;1;1;0.10
net.sourceforge.ganttproject.chart.ChartModelImpl.java:326;3;12;0;12;5;8;0;5;3;7;10;5;5;3;3;3;1;2;0.00
net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer.java:263;10;4;0;4;1;2;0;2;1;2;3;1;2;1;1;1;1;0;0.00
net.sourceforge.ganttproject.chart.TaskRendererImpl.java:475;6;30;0;30;11;23;0;12;4;15;19;8;11;4;4;4;1;2;0.00
net.sourceforge.ganttproject.chart.TaskRendererImpl.java:618;10;39;4;35;16;31;0;23;24;19;26;12;14;7;7;7;1;2;0.00
net.sourceforge.ganttproject.GanttProject.java:1956;3;7;0;4;1;2;3;4;1;2;3;1;2;1;1;1;1;0;0.75
net.sourceforge.ganttproject.GanttProject.java:1768;2;18;2;15;2;10;1;7;3;5;8;2;6;3;3;3;1;1;0.07
net.sourceforge.ganttproject.GanttResourcePanel.java:441;7;24;0;23;5;15;1;9;4;5;9;3;6;4;4;6;1;3;0.04
net.sourceforge.ganttproject.GanttTree2.java:773;2;11;0;11;5;8;0;9;3;5;8;4;4;3;3;3;1;2;0.00
net.sourceforge.ganttproject.GanttTree2.java:693;9;19;4;11;4;9;5;4;3;8;11;5;6;3;3;4;1;1;0.45
net.sourceforge.ganttproject.GanttTreeTable.java:228;13;14;0;14;0;13;0;2;1;12;13;1;12;1;1;1;1;0;0.00
net.sourceforge.ganttproject.ResourceLoadGraphicArea.java:178;2;3;0;3;1;1;0;2;1;1;2;1;1;1;1;1;1;0;0.00
net.sourceforge.ganttproject.ResourceTreeTable.java:316;4;14;0;14;3;9;0;5;5;8;12;4;8;4;4;4;4;2;0.00
net.sourceforge.ganttproject.UIFacadeImpl.java:360;1;12;1;11;2;7;0;1;1;5;7;2;5;1;1;1;1;0;0.00
